headword,CEFR,source
a,A1,oxford_3000
abandon,B2,oxford_3000
ability,A2,oxford_3000
able,A2,oxford_3000
abolish,C1,oxford_5000
abortion,C1,oxford_5000
about,A1,oxford_3000
above,A1,oxford_3000
abroad,A2,oxford_3000
absence,C1,oxford_5000
absent,C1,oxford_5000
absolute,B2,oxford_3000
absolutely,B1,oxford_3000
absorb,B2,oxford_5000
abstract,B2,oxford_5000
absurd,C1,oxford_5000
abundance,C1,oxford_5000
abuse,C1,oxford_5000
academic,B1,oxford_3000
academy,C1,oxford_5000
accelerate,C1,oxford_5000
accent,B2,oxford_5000
accept,A2,oxford_3000
acceptable,B2,oxford_3000
acceptance,C1,oxford_5000
access,B1,oxford_3000
accessible,C1,oxford_5000
accident,A2,oxford_3000
accidentally,B2,oxford_5000
accommodate,B2,oxford_5000
accommodation,B1,oxford_3000
accompany,B2,oxford_3000
accomplish,B2,oxford_5000
accomplishment,C1,oxford_5000
accordance,C1,oxford_5000
according to,A2,oxford_3000
accordingly,C1,oxford_5000
account,B1,oxford_3000
accountability,C1,oxford_5000
accountable,C1,oxford_5000
accountant,B2,oxford_5000
accumulate,C1,oxford_5000
accumulation,C1,oxford_5000
accuracy,B2,oxford_5000
accurate,B2,oxford_3000
accurately,B2,oxford_5000
accusation,C1,oxford_5000
accuse,B2,oxford_3000
accused,C1,oxford_5000
achieve,A2,oxford_3000
achievement,B1,oxford_3000
acid,B2,oxford_5000
acknowledge,B2,oxford_3000
acquire,B2,oxford_3000
acquisition,C1,oxford_5000
acre,C1,oxford_5000
across,A1,oxford_3000
act,A2,oxford_3000
action,A1,oxford_3000
activate,B2,oxford_5000
activation,C1,oxford_5000
active,A2,oxford_3000
activist,C1,oxford_5000
activity,A1,oxford_3000
actor,A1,oxford_3000
actress,A1,oxford_3000
actual,B2,oxford_3000
actually,A2,oxford_3000
acute,C1,oxford_5000
ad,B1,oxford_3000
adapt,B2,oxford_3000
adaptation,C1,oxford_5000
add,A1,oxford_3000
addiction,B2,oxford_5000
addition,B1,oxford_3000
additional,B2,oxford_3000
additionally,B2,oxford_5000
address,A1,oxford_3000
adequate,B2,oxford_5000
adequately,B2,oxford_5000
adhere,C1,oxford_5000
adjacent,C1,oxford_5000
adjust,B2,oxford_5000
adjustment,C1,oxford_5000
administer,C1,oxford_5000
administration,B2,oxford_3000
administrative,C1,oxford_5000
administrator,C1,oxford_5000
admire,B1,oxford_3000
admission,C1,oxford_5000
admit,B1,oxford_3000
adolescent,C1,oxford_5000
adopt,B2,oxford_3000
adoption,C1,oxford_5000
adult,A1,oxford_3000
advance,B2,oxford_3000
advanced,B1,oxford_3000
advantage,A2,oxford_3000
adventure,A2,oxford_3000
adverse,C1,oxford_5000
advertise,A2,oxford_3000
advertisement,A2,oxford_3000
advertising,A2,oxford_3000
advice,A1,oxford_3000
advise,B1,oxford_3000
advocate,C1,oxford_5000
aesthetic,C1,oxford_5000
affair,B2,oxford_3000
affect,A2,oxford_3000
affection,C1,oxford_5000
afford,B1,oxford_3000
affordable,B2,oxford_5000
afraid,A1,oxford_3000
after,A1,oxford_3000
aftermath,C1,oxford_5000
afternoon,A1,oxford_3000
afterwards,B2,oxford_3000
again,A1,oxford_3000
against,A2,oxford_3000
age,A1,oxford_3000
aged,B1,oxford_3000
agency,B2,oxford_3000
agenda,B2,oxford_3000
aggression,C1,oxford_5000
aggressive,B2,oxford_3000
ago,A1,oxford_3000
agree,A1,oxford_3000
agreement,B1,oxford_3000
